"gene_symbol","log_fc_with_age","fdr_with_age","log_fc_without_age","fdr_without_age"
"ABT1",0.0482313040618347,0.870857986763294,0.0406931523805003,0.900132960004333
"ABTB1",0.273012783086267,0.437162070373818,0.255801830164796,0.492285983843864
"ABTB2",-0.906828669197702,0.0546246702363127,-0.832063348753506,0.150095664944484
"ACAA1",-0.87107425692982,0.0859086339812954,-0.86603425638065,0.109298140664541
"ACAA2",-0.622480993013787,0.227454557939048,-0.609859627994962,0.254912947680987
"ACACA",-1.37447327766965,0.035137920840062,-1.26102946471966,0.123307960162447
"ACACB",-1.51226528390255,0.280861555488179,-1.36525442614677,0.390748865276916
"ACAD10",-0.581794646846788,0.224007442241891,-0.515216758350183,0.369489804179854
"ACAD11",-0.738741092010594,0.0593466860511911,-0.699341893320176,0.115204656399497
"ACAD8",-0.783241762375997,0.019300567613418,-0.759496066109696,0.0534571828552707
"ACAD9",-1.64954829777186,0.0279238867225421,-1.56993536761732,0.0726039000077923
"ACADL",-0.766925984410549,0.101646787771503,-0.659902628948345,0.320932625491834
"ACADM",-2.66114262339326,0.0134950986177876,-2.52639844109156,0.0492181571789605
"ACADS",-1.00553640123633,0.073334693328674,-0.948395618204928,0.133625754158896
"ACADSB",-1.68983878409484,0.0183751049289291,-1.62542613264914,0.0553805652947017
"ACADVL",-1.35121108951185,0.0710312717770404,-1.28102062231524,0.124983226010402
"ACAP1",0.138198273070035,0.807857004688938,0.0967258240002167,0.884449583260849
"ACAP2",-0.381922423406942,0.364517399103727,-0.34541705002435,0.461117982114823
"ACAP3",0.270624815997083,0.348687091058895,0.224115201218617,0.55092620805659
"ACAT1",-1.77749306765107,0.0236602069496335,-1.71701248164277,0.0609514084546712
"ACAT2",-1.77296918789792,0.0452130308517274,-1.59763539079667,0.167011456012282
"ACBD3",0.124464690098009,0.484434141715045,0.109967569580585,0.58405578693008
"ACBD4",-0.0751806472164338,0.779263496145664,-0.0930553591760663,0.747317567379594
"ACBD5",-0.472463267132587,0.183153187874097,-0.451637152355282,0.232178751158626
"ACBD6",-0.204426038568765,0.468714986961989,-0.188893086562422,0.533104683331046
"ACCS",0.0434483866868822,0.931889417350666,0.059693156891794,0.910671504643244
"ACD",0.125199668178363,0.666236138793657,0.088522505929495,0.811939409669853
"ACE",-1.75661614505675,0.0426006859596842,-1.66989651219879,0.0906593792536529
"ACE2",-3.04978512317203,0.0276060678359987,-2.8051679536542,0.10523721706314
"ACER2",1.12845980442252,0.0387227649314237,1.12760931332327,0.0664691519108832
"ACER3",-0.654548331660021,0.176005713106338,-0.576123289640314,0.340628463816479
"ACHE",-0.648971988541394,0.130854223618155,-0.572363135592767,0.299452857286842
"ACIN1",0.216845466898985,0.202130542406787,0.185157281610589,0.414014850979649
"ACKR1",2.92616268533337,0.0423072396001082,2.74932649334291,0.10161159487488
"ACKR2",0.421250419109227,0.499505688578558,0.504794239055943,0.494177126989733
"ACKR3",0.275634713181498,0.604837953826301,0.260367576094491,0.641139796635918
"ACKR4",-1.49793218889098,0.0368489739052362,-1.47773760889421,0.0671876671908625
"ACLY",0.15524440574292,0.683109851242502,0.190825037855179,0.649876193510403
