"gene_symbol","log_fc_with_age","fdr_with_age","log_fc_without_age","fdr_without_age"
"SPTLC2",0.647933605781549,0.007939784260495,0.632443639977923,0.0100994292031786
"SPTLC3",-0.656481459390413,0.141749138812506,-0.686785960330375,0.140817961788752
"SPTSSA",-0.109821821382777,0.624704006490485,-0.112266272561572,0.611760140451474
"SPTY2D1",-0.130624698771929,0.509014800152587,-0.140103730440903,0.487970433327987
"SPX",-0.570529535041077,0.0636686952262713,-0.584136695639076,0.0588757109089421
"SQLE",-0.372185047840877,0.278327445251256,-0.374464609993267,0.263166388508665
"SQOR",0.00656476208704948,0.97661239989904,0.00719223427369986,0.973288377400946
"SQSTM1",-0.499729637616236,0.0242559842201303,-0.492563469160743,0.0244262920340204
"SRA1",0.147260754813344,0.401461918049105,0.164228977619564,0.408545044032401
"SRBD1",0.167920496398611,0.247579993164726,0.158251589324634,0.306790351925904
"SRC",0.399941953824801,0.0317680613081953,0.401063592725379,0.0275658290638553
"SRCIN1",0.977101199926517,0.150331865363516,0.953811182206182,0.155316751004898
"SRD5A1",-0.430875974706646,0.0397892962661509,-0.40951328706241,0.0762607193606985
"SRD5A2",-1.3634196417557,0.133061655145771,-1.36263931071529,0.121578035798902
"SRD5A3",-0.150093033689973,0.427137535890638,-0.146121539645351,0.436188139906692
"SREBF1",0.353557944511782,0.652599098818969,0.360771361816371,0.639549160156204
"SREBF2",0.109115462789697,0.718462078218662,0.119748763080766,0.693522766072613
"SREK1",-0.047635252425489,0.807156352132043,-0.059715081217794,0.772130624445823
"SREK1IP1",0.0747330043935728,0.674656617449793,0.0688462444193161,0.705930699165818
"SRF",0.380519184163412,0.0568978057538703,0.394956455418965,0.0605773048600934
"SRFBP1",-0.0464645348185471,0.812688624804545,-0.0517364430311154,0.793428897421098
"SRGAP1",-0.275531830206617,0.202961430932294,-0.276209192476554,0.193004737494686
"SRGAP2",-0.0934027018928969,0.747805653397766,-0.0855153939970323,0.767610401151699
"SRGAP3",-0.287360240618617,0.329621745662376,-0.31246692692996,0.332946442396366
"SRGN",2.10456823057189,0.00757038975267668,2.12400855724955,0.00603369037089194
"SRI",0.685070423628713,0.0562943112356304,0.697730881526292,0.0499475658135472
"SRL",-0.912697785442343,0.0326118325042888,-0.929813039648315,0.0291851151160564
"SRM",0.911942333869101,0.0240579197277223,0.943558220382036,0.0277002418904241
"SRP14",-0.284013887297498,0.0661474311165695,-0.264706967305409,0.149488507157081
"SRP19",0.0953643662682842,0.48525564001793,0.0901510011491569,0.520690334087144
"SRP54",-0.0545591291432892,0.835254866415581,-0.069529590567373,0.79699847100577
"SRP68",0.0837416997271321,0.629404697719046,0.0921912813522843,0.604375831431218
"SRP72",0.0654938752985341,0.69224075193426,0.0503163984484276,0.793468331758207
"SRP9",-0.0675996485833874,0.711488352002127,-0.0614535041289006,0.742067320675468
"SRPK1",-0.233611715170688,0.167047061304045,-0.23982218618313,0.156991327209343
"SRPK2",0.0425099395192516,0.730509492447065,0.0268986010147456,0.867512813848058
"SRPK3",1.06257448123146,0.0396810970543129,1.08272500006021,0.0354009836811937
"SRPRA",0.0622274705077155,0.76329359867701,0.0647533651158838,0.75167446279459
"SRPRB",0.0789406464832174,0.622625545994602,0.0868555365815231,0.599014992967467
"SRPX",1.63091743842383,0.0193157227496242,1.63102834782992,0.0155392344410751
"SRR",-0.235911880852914,0.341799103970838,-0.223615236002442,0.381210736836417
"SRRD",-0.105900018293483,0.608114432854455,-0.0987943197962702,0.640745628996837
"SRRM1",-0.437736159993327,0.0550202806857393,-0.44900889034191,0.0520425396423666
"SRRM2",-0.110918779142773,0.536571097170427,-0.109478432468656,0.545106407190992
"SRRM3",-1.79440672874321,0.0083559189205513,-1.74265830824316,0.0127871027821496
"SRRT",0.0805181220859685,0.613032275411199,0.0956661454893908,0.598032243028883
"SRSF1",-0.0171419835812356,0.891452401127108,-0.0168216784323612,0.893839972830542
"SRSF10",0.0148742595347295,0.931906693761143,0.0204050941891998,0.904987031634017
"SRSF11",0.131016307983561,0.369641496423404,0.122743521692594,0.422480473495276
"SRSF12",-0.0297092853885106,0.910960115531882,-0.0267944046536028,0.919188657825708
"SRSF2",0.155571839076802,0.24921641593053,0.158555366510718,0.23813857600865
"SRSF3",0.178425944665137,0.245720692355511,0.180809200732263,0.233164294509426
"SRSF4",0.126486321390336,0.444407562739641,0.12733330473646,0.434253695277788
"SRSF5",-0.176588451779956,0.360982170196737,-0.190907680876976,0.355838368756563
"SRSF6",-0.393097203119934,0.0608820896044568,-0.378134489964628,0.0841150461784238
"SRSF7",0.17188785063171,0.356083704292391,0.187726032353499,0.358800908527143
"SRSF9",-0.18977918690396,0.159275567932339,-0.183192043834957,0.183423993793852
"SRXN1",0.727149443140688,0.0735609325737104,0.705503808198425,0.0851917584051763
"SS18",0.0324567535909468,0.880978935594485,0.0257353135251988,0.906497764669202
"SS18L1",-0.493135992151118,0.137182906436197,-0.513173949359671,0.133348750518243
"SS18L2",-0.211708885394226,0.29792971371328,-0.208899386487471,0.295606288623127
"SSB",0.0406196001003147,0.717288152201531,0.0428126768725869,0.707285392692615
"SSBP1",0.0556008351712975,0.649603507146037,0.0537530549794898,0.661866723200542
"SSBP2",0.141472412167616,0.542314377921965,0.142699188594024,0.531951494137259
"SSBP3",0.0749369620832718,0.6693209078357,0.0877409350432465,0.643248079372923
"SSBP4",0.657925104125662,0.10009667204091,0.689061435543201,0.105590939490219
"SSC4D",-0.0426880557754598,0.960114853158765,-0.0339966550691367,0.967585884117445
"SSC5D",0.471689282686711,0.276869616423431,0.507251524552688,0.278685700795503
"SSH1",-0.00350576080618747,0.983670150778532,-0.0057511982415086,0.972669952826493
"SSH2",1.18171913097659,0.00810044516608585,1.16857344409775,0.00716078074477503
"SSH3",0.0112448655668249,0.948699342352995,0.0161318553236667,0.924092241072953
"SSNA1",-0.474174256750648,0.013779564675165,-0.450314287092133,0.040177362641004
"SSPN",0.444869008280504,0.263038127043872,0.445431218895903,0.249508268086186
"SSR1",-0.138018480359756,0.560186854270583,-0.146990923434424,0.536883850774583
"SSR2",0.0651932202001753,0.769128717576647,0.0856701418670012,0.734355049836143
"SSR3",-0.117310087835706,0.602835105682374,-0.114238745704261,0.608544461391864
"SSR4",0.406379783875417,0.260139342901361,0.442611114358042,0.277067522674498
"SSRP1",-0.0939731208778278,0.479124046887681,-0.0867836694770672,0.535019231788583
"SSTR2",-2.8481550565187,0.0105158300838608,-2.85869694767516,0.00792870813535219
"SSU72",0.131722366326038,0.377137564816448,0.144179069304935,0.378815647019179
"SSUH2",0.452228742221731,0.426170867328862,0.472432595718799,0.40428050391624
"SSX2IP",-0.274894154483158,0.295842692481787,-0.290723096003977,0.286236824326127
"ST13",-0.671783564923189,0.0209812486455082,-0.672956901518162,0.0175095163472307
"ST14",0.858543211004862,0.0340993607676319,0.854284485884722,0.0299051805051886
