"gene_symbol","err_positive","control_positive","log_fc","fdr","ave_expr"
"ANKS4B",FALSE,FALSE,-1.95249988984747,0.00316083001948708,3.73751503929394
"ANKS6",FALSE,FALSE,-0.606061952757185,0.0465935621563914,5.83002443532756
"ANLN",FALSE,FALSE,-1.39050984309059,0.0605018802281829,4.10783291933254
"ANOS1",FALSE,FALSE,-1.18688570554969,0.0329402684979445,2.42267042451617
"ANP32A",FALSE,FALSE,-0.284685167337949,0.0626732338253732,6.24114866854664
"ANPEP",FALSE,FALSE,-1.60935402251291,0.0114151123414593,8.73529488769683
"ANTKMT",FALSE,FALSE,-0.614897197436167,0.0418777624890949,4.63582329156134
"AOC1",FALSE,FALSE,-1.8814744882277,0.0612079964660588,9.23873256395473
"AP1AR",FALSE,FALSE,-0.572696289106838,0.0520425396423691,3.96161780131311
"AP1G2",FALSE,FALSE,-0.48423571820715,0.0198196138866262,6.29628043108251
"AP2A2",FALSE,FALSE,-0.730493579763356,0.0123179298349518,8.0631508249437
"AP2M1",FALSE,FALSE,-0.340276186870229,0.0618399334525825,8.65435822805568
"AP3D1",TRUE,FALSE,-0.330544940046228,0.0662413361545092,7.80481147324884
"APBA1",FALSE,FALSE,-1.12033130950841,0.0154951672810634,4.21247962393283
"APEX2",FALSE,FALSE,-0.183021908139217,0.0787438199732396,5.39727483772348
"APH1B",FALSE,FALSE,-0.492885276763731,0.064189549104825,6.2811203818748
"APIP",FALSE,TRUE,-0.645059873014941,0.00864256357526922,4.84602785894079
"APLNR",FALSE,FALSE,-1.33695263716373,0.0200755727218795,6.24200999371623
"APOH",FALSE,FALSE,-1.54462754588652,0.0680683856078598,4.56700812950853
"APOM",FALSE,FALSE,-1.05479178437935,0.0304437696434426,2.93273263563574
"APOO",TRUE,TRUE,-0.851905321138161,0.0192896926421001,4.35938734713608
"APP",FALSE,FALSE,-0.475922939931944,0.0375442866290022,9.99938439416326
"AQP11",FALSE,TRUE,-1.88160640200237,0.0175728915475848,2.19479391309455
"AQP2",FALSE,FALSE,-2.22058257185859,0.0101463344200969,7.63684653287488
"AQP6",FALSE,FALSE,-1.91022542930432,0.0615087765804618,2.19062229970035
"AR",FALSE,FALSE,-0.657790942365248,0.0218641831238276,4.9915035509308
"ARF3",FALSE,FALSE,-0.412761090458797,0.0497667357402476,7.79675011938541
"ARFGAP3",FALSE,FALSE,-0.520184375151655,0.0590924656270897,6.6156559864689
"ARFGEF1",FALSE,FALSE,-0.507009396425602,0.0952841615856098,6.9168943267714
"ARHGAP12",FALSE,FALSE,-0.672175455855435,0.0325473754382891,5.3127572989994
"ARHGAP19",FALSE,FALSE,-0.383591778818975,0.0822459238575943,3.36088365947994
"ARHGAP24",FALSE,FALSE,-1.03735143374482,0.00389864211258081,5.54480660722302
"ARHGAP35",FALSE,FALSE,-0.498011730354106,0.0500901910739516,6.22923463628597
"ARHGEF16",FALSE,FALSE,-0.790179014785968,0.0394678248946104,5.80770391126182
"ARHGEF18",FALSE,FALSE,-0.505337329372507,0.0379002453770975,7.32505208595932
"ARHGEF4",FALSE,TRUE,-1.6313739143656,0.0892663150101778,0.239359155858091
"ARL6",FALSE,FALSE,-0.446365643604521,0.0989639809761032,3.23485286585236
"ARMC10",FALSE,TRUE,-0.57711256881189,0.00777111749607276,5.12977631259401
"ARMH1",FALSE,FALSE,-0.741211175355074,0.0388537810085715,2.07850698646697
"ARMT1",FALSE,FALSE,-0.563587861568919,0.0263263682029142,4.36895522458445
"ARPP21",FALSE,FALSE,-0.78307402396146,0.0667136404814698,2.51088218465552
"ARSD",FALSE,FALSE,-0.567532933093713,0.0937139481491081,5.39422841263923
"ARSK",FALSE,FALSE,-0.683043255155746,0.0435318406797417,2.46272516078135
"ARVCF",FALSE,FALSE,-0.506997156982847,0.0338051647773741,5.28350655165061
"ASAH1",FALSE,FALSE,-0.798944070524005,0.0899234226154056,8.70556069471906
"ASAH2",FALSE,FALSE,-2.0196028277625,0.00522492515049978,1.42705774397176
"ASB1",FALSE,FALSE,-0.35514904728766,0.0230648799521565,5.55294114610568
"ASB13",FALSE,FALSE,-0.834147352764314,0.011073244496898,5.71328088047976
"ASB16",FALSE,FALSE,-2.48323863687918,0.00624929178400786,0.337027193233897
"ASB7",FALSE,FALSE,-0.288835399665218,0.076771050447227,2.8854681723855
"ASB8",FALSE,FALSE,-0.329775280698837,0.0310672347767109,4.5619773326566
"ASB9",FALSE,FALSE,-0.937011875596975,0.0402015971531977,2.30932919724884
"ASH1L",FALSE,FALSE,-0.305011114082152,0.0497667357402476,6.88613434087797
"ASIC4",FALSE,TRUE,-2.35057240159729,0.0151556375001882,2.44759625276808
"ASL",FALSE,FALSE,-1.14244225994107,0.0179453991232138,6.42982522069367
"ASNSD1",FALSE,FALSE,-0.306536445434159,0.0577733692486706,4.34379929007605
"ASPA",TRUE,FALSE,-0.996805765052939,0.0366079899037909,6.13314508090606
"ASPDH",FALSE,FALSE,-1.60692364013649,0.0320626442524238,5.67165291414587
"ASPSCR1",FALSE,FALSE,-0.343920390669448,0.0985816935380968,5.83988214498743
"ASTN1",FALSE,FALSE,-1.28696196013496,0.0372148008146023,1.0913872842314
"ATG10",FALSE,FALSE,-0.50989840209513,0.031585464683504,3.41810353302144
