"gene_symbol","log_fc","fdr","mean_tissues","frac_kidney_specific","mean_fold_change","n_enhancers","state"
"AKAP13",0.365718816108394,0.0505410618614913,3.5,0.25,4.617,4,"induced"
"AKAP5",0.246880717794293,0.578195123901866,7,0,9.463,1,"unchanged"
"AKIP1",0.385419136565798,0.0804585870849584,7,0,16.928,1,"induced"
"AKIRIN2",-0.167641007245876,0.125904505015044,3,0,3.527,1,"unchanged"
"AKR1A1",-1.0723779102464,0.0343200110408625,2.4,0,3.91,5,"repressed"
"AKR1B1",0.202067082127476,0.604690775122949,2.4,0,3.856,5,"unchanged"
"AKR1E2",-0.0826317611164304,0.77962099238324,6,0,9.012,1,"unchanged"
"AKT3",-0.034887963841828,0.929294662371166,2.6,0.4,3.31,5,"unchanged"
"ALAD",-0.414350019422971,0.35840721543091,5,0,3.966,1,"unchanged"
"ALAS1",0.955627178899104,0.0253989227152358,4,0,3.5,6,"induced"
"ALCAM",-0.324727702320287,0.251791667081587,6,0,5.744,1,"unchanged"
"ALDH18A1",-0.705146418209403,0.120077594532376,1,1,3.551,1,"unchanged"
"ALDH1A1",-0.767869538892385,0.222751531483691,4.25,0,4.055,4,"unchanged"
"ALDH1L1",-0.820765474975512,0.116095232542634,3,0,5.592,1,"unchanged"
"ALDH2",-1.33644095394022,0.015978157723988,4.2,0,3.89,5,"repressed"
"ALDH3A1",1.69319081269568,0.250846752556066,2,0,3.317,2,"unchanged"
"ALDH3A2",-0.691769668098739,0.0501478847524833,2.25,0.5,3.951,4,"repressed"
"ALDH3B1",0.300333725494432,0.559057070179826,4,0,2.76,1,"unchanged"
"ALDH4A1",-1.72400827989345,0.0360363765672953,3,0.2,3.097,5,"repressed"
"ALDH6A1",-1.46385846295389,0.02941303293271,1,1,2.823,1,"repressed"
"ALDH8A1",-1.40626214269196,0.0604779041971873,2,0,5.061,1,"repressed"
"ALDOA",-0.0253881715522191,0.936576813567202,2,0,3.557,2,"unchanged"
"ALDOB",-1.44891265122989,0.0804594969855566,3,0,6.509,1,"repressed"
"ALG12",-0.150129856798404,0.457888698540106,3,0,2.823,1,"unchanged"
"ALG8",-0.154230454131328,0.574009973078191,3,0,3.834,1,"unchanged"
"ALKBH1",0.217421088229144,0.131083861443874,2.2,0.8,6.256,5,"unchanged"
"ALKBH6",-0.131448798758013,0.425825579894051,5,0,2.823,1,"unchanged"
"ALKBH8",-0.379429772665611,0.074116395636281,7,0,16.633,1,"repressed"
"ALOX15B",-0.135925444086116,0.770526778519471,1,1,4.908,1,"unchanged"
"ALOX5AP",2.34766534276037,0.00819023980252681,3,0,3.728,3,"induced"
"ALPK1",0.0264436751053854,0.945263659025975,6,0,5.878,1,"unchanged"
"ALPK3",0.134959381898779,0.739452193282158,3.5,0.25,3.774,4,"unchanged"
"ALPL",-1.90749962048388,0.0446609237482236,1,1,3.681,1,"repressed"
"ALS2",-0.49431648350972,0.043066419647977,1,1,3.834,1,"repressed"
"ALX1",1.11190095517616,0.206899722122814,2,0,3.595,1,"unchanged"
"AMACR",-1.98639362370594,0.0304597476331822,1.875,0.375,4.169,8,"repressed"
"AMH",-0.351314554254905,0.432001202071276,3.25,0,3.284,4,"unchanged"
"AMIGO1",-0.613355095581236,0.0334700126074522,3.75,0,3.577,4,"repressed"
"AMN",-1.31404572249195,0.053929982387443,1,1,2.672,1,"repressed"
"AMOT",-0.177513585433433,0.560298914476587,3,0,3.527,5,"unchanged"
"AMZ2",-0.227206871838542,0.120931841087243,3,0.333,3.438,9,"unchanged"
"ANAPC10",-0.230171804014031,0.447840099168915,1,1,3.834,1,"unchanged"
"ANAPC13",-0.413040694606781,0.10429582732512,1.75,0.5,5.819,4,"unchanged"
"ANAPC15",-0.407348752690489,0.0477144454270132,2,0,3.374,2,"repressed"
"ANGPT1",-0.833221039105966,0.0495604485857703,1,1,3.807,7,"repressed"
"ANGPT2",0.97126810841879,0.218882024669625,3.5,0,3.517,6,"unchanged"
"ANGPT4",1.88936826601582,0.0159788702269882,2,0,3.618,2,"induced"
"ANGPTL1",-0.408512291068578,0.601102082495297,3.375,0,3.432,8,"unchanged"
"ANGPTL2",0.900058819885792,0.0491698407859276,3,0,2.76,1,"induced"
"ANGPTL4",2.37371040881791,0.00592913875525179,5,0,4.034,2,"induced"
"ANGPTL6",1.27488505665931,0.215927777382892,7,0,10.587,1,"unchanged"
"ANHX",-1.3132336477145,0.322265494486829,5,0,3.221,1,"unchanged"
"ANKFY1",0.0663669209882549,0.538825263576752,1,1,2.76,1,"unchanged"
"ANKH",-0.00193293066955569,0.992774637697256,3.5,0.5,5.214,2,"unchanged"
"ANKLE1",-0.0577973220777035,0.904652433569513,3,0,4.141,1,"unchanged"
"ANKMY1",-0.0646435263068472,0.85606333274303,7,0,3.45,1,"unchanged"
"ANKMY2",-0.663992185056804,0.00666061050463166,2.5,0.25,3.989,4,"repressed"
"ANKRD1",3.66708683233811,0.00819023980252681,2.286,0.429,3.684,7,"induced"
